ID,Age,LargeHigh,Log10LargeHigh,LargeHighL,LargeHighU,Small High,Log10SmallHigh,SmallHighL,SmallHighU,LargeLow,Log10,L,U,SmallLow,Log10,L,U,Parallel,L,U,Log10(Para),Ortho,L,U,Log10(Ortho),Contrast Suppression index,L,U,95% CI
C034,60.33,61.117,1.786162028,5.793,7.658,82.407,1.915964104,29.748,91.558,54.025,1.732594776,8.897,8.224,214.353,2.331129566,52.193,72.468,8.647,2.592,3.965,0.936865459,2.906,0.597,0.811,0.46329561,0.474,0.191,0.19,0.381
C035,65.083,77.105,1.887082542,15.881,19.608,47.397,1.675750854,4.974,3.811,71.106,1.851906249,25.461,44.59,143.982,2.158308202,20.161,26.052,4.518,2.416,3.247,0.654946227,1.406,0.221,0.233,0.147985321,0.507,0.338,0.251,0.589
C036,62.583,67.25,1.827692289,7.542,9.188,49.355,1.693331156,9.592,8.511,31.193,1.494057145,4.608,7.096,104.305,2.018305127,33.295,37.964,6.129,1.077,0.501,0.787389621,1.642,0.18,0.131,0.215373153,0.572,0.087,0.059,0.146
C037,59.083,90.778,1.95798061,9.284,7.539,34.721,1.540592225,3.553,3.117,22.755,1.35707684,1.242,15.875,85.164,1.930256051,20.752,43.203,5.202,2.821,5.568,0.716170348,1.676,0.424,0.378,0.224274014,0.492,0.349,0.3413,0.6903
C038,46.833,110.073,2.041680803,16.238,9.78,53.45,1.72794771,5.907,5.189,53.77,1.730540036,3.823,5.889,67.141,1.826987805,5.645,4.287,9.57,2.386,2.165,0.980911938,1.15,0.296,0.501,0.06069784,0.92,0.198,0.16,0.358
C039,32.083,149.82,2.175569793,31.102,52.029,31.249,1.494836124,5.465,6.07,60.328,1.780518928,11.971,16.315,102.61,2.011189688,11.714,12.362,7.189,3.032,4.946,0.856668484,1.625,0.264,0.308,0.210853365,0.646,0.253,0.244,0.497
C040,42.58,74.831,1.874081549,5.792,5.398,35.66,1.552181339,3.613,3.8,45.295,1.656050264,10.982,15.048,354.079,2.54910017,162.405,465.224,4.729,0.845,0.635,0.674769314,0.846,0.65,2.54,-0.072629637,0.748,0.615,0.632,1.247
C041,63.083,95.547,1.980217056,16.971,22.878,99.215,1.996577337,16.134,21.239,134.599,2.129041833,39.34,67.591,144.135,2.158769452,23.346,28.306,9.204,3.833,4.646,0.96397661,2.181,0.54,0.272,0.338655666,0.625,0.236,0.215,0.451
C042,55.58,111.758,2.048278621,18.788,12.448,57.549,1.760037782,17.124,15.386,81.95,1.913548958,22.535,22.681,225.535,2.353213948,75.413,61.859,3.62,2.136,3.204,0.558708571,1.469,0.234,0.313,0.167021796,0.392,0.212,0.285,0.497
C043,47.83,84.579,1.927262546,16.99,20.142,35.279,1.547516266,3.63,2.306,34.948,1.543422327,10.206,26.584,60.259,1.78002192,17.234,18.504,1.774,0.352,0.451,0.248953615,1.184,0.359,0.25,0.073351702,0.176,0.128,0.187,0.315
